Author,Review,Profession,Date,NumberOfStars
Денис Н,"Все отлично. Раньше Автодом вообще не воспринимал. Хамство и ЧСВ было в порядке вещей. Не был тут лет 5-7. И даже не думал, что снова приеду.Но! Сейчас всё изменилось. Всё вежливо, всё приветливо, все быстро и качественно. ТО - 3 с работами сверх регламента заняли 2,5 часа. За это время успели договорится, сделать два тест драйва и зарезервировать машину купить.",Знаток города 4 уровня,27 ноября 2019,5
Домен+организации,"Расскажу как я пытался купить БМВ Х5 G05 в декабре 2019года в Автодоме на Зорге.Оплатил задаток, догоыорились о цене по телефону и я погнал свой старенький Х3 к ним в трейд-ин.И началось....1. Оценка моей машины по телефону в 1.1млн и клятвенные обещания не снижать цену2. Приехал. Загнали мою машину на диагностику. Консультант сервиса Олисов Алексей сразу начал разводить. Если меня не устроит цена оценки после диагностики, то я должен оплатить 30тысяч. Я прошу документ, где прописаны такие условия. документ не дают, все на словах.3. Соглашаюсь на оценку. Ждал 5 часов...Как будто спкциально тянут к концу рабочего дня, зная что машина из региона и времени у покупателя нет... Оценили в 850тр))) 4. Итого минус 250тр от оценки по телефону. И ключи с документами не отдают:( плати 30тр не понятно куда и кому...5. Еще 2 часа пытаюсь забрать свой автомобиль. В итоге пришлось отдать 5тр наличными менеджеру с которым договаривался по телефону, чтобы Олисов Алексей отдал мне ключи и документы.Стыд и позор такому официальному дилеру!!!Я конечнл понимаю, что для Москвы 5млн за машину-это копейк, но так работать со своими клиентами недопустимо:(",Знаток города 5 уровня,2 марта,1
komarov@beautylife.ru,"Не приезжайте в трейд-ин без специалистов, менеджеры жёстко обманывают. Покупал мотоцикл, мне расписали его как идеальный вариант без ДТП, что вся история у них была на Зорге и он в идеале. Через месяц когда у меня вытекли все стойки, мы сняли пластик и поняли что собран мотоцикл непонятно из чего и все на соплях и БУ, после сильного удара. У дилера просто не могли этого не заметить, а я просто не удосужился проверить. Убили доверие на всю жизнь и даже не извинились после моей претензии. Так сё конторка",Знаток города 4 уровня,18 октября 2019,1
Александр,"Позвонили по телефону позвали на отзывную компанию по радиатора обратных газов. Когда пришёл на диагностику автомобиля.посыпались разные заманчивые предложения по замене масла, разных фильтров, диагностики всего автомабиля. Согласился на диагностику автомабиля, ( диагностика радиатора по отзывной программе показала что радиатор в полном порядке ЗАМЕНЫ НЕ ТРЕБУЕТ В ЧЕМ Я И НЕ СОМНЕВАЛСЯ), замена масла и топливного фильтра. Вечером забрал автомобиль довольный и счастливый. Через 2 дня проехал примерно 30км. решил проверить уровень масла на компьютере автомабиля уровень был чуть ниже и я решил долить масло. Когда я открыл капот то обнаружил что защитная пластина вся шатается. НА СЛЕДУЮЩИЙ ДЕНЬ Я ПОЗВАНИЛ НА ЗОРГИ мне сказали что приемник сегодня не работает и лучше обратится в другой день. Когда я объяснил суть проблемы мастер приемник начал меня убеждать что они туда не лазили. Я спросил тогда за что я заплатил деньги за диагностику и замену масла( щуп масленный и фильтр вытаскиваются после снятия защиты) на что он ответил что он не очень понимает в них. Повторно он сказал тоже самое в цеху но его уже поправил амтомеханниккоторый ремонтировал соседний автомобиль. После этого мы выехали на улицу. Начали заполнять бумаги по проделанной работе.В промежутке нашего общения приемник сказал подождать и по-быстрому оформил документы другому клиенту.Через не большое количество времени меня пригласили обратно и мы заехали в авто мастерскую по новой. Как пояснил приемщик приехал другой автомеханник который хорошо понимает. Вся процедура заняла с 11-00 до 14-30. Я попросил позвать какого-нибудь старшего на что получил ответ от приемщика и администратора на ресепшене что выходной и нет ни кого. И со мной обязательно свяжутся. Через 2 дня действительно мне позванил мастер приемник принимавший машину в первое моё посещение пообещал бесплатные работы в качестве извенения.придложил купить запчасти и они их заменят БЕСПЛАТНО. НАДО ТОЛЬКО К НЕМУ ЗАПИСАТЬСЯ. ПРОШЛО 2 ДНЯ.Я ПОЗВОНИЛ ДМИТРИЮ ПРИЕМЩИКУ КОТОРЫЙ ОБЕЩАЛ ИЗВЕНЕНИЯ.К сожалению он меня сначала не узнал. После того как я ему начал напоминать о его обещания он ответил что сделать этого не может может поменять пласмаску (крепление на трубке которое они сломали) на чем мы с ним закончили.",Знаток города 4 уровня,3 февраля,1
Sergey Bragin,"Четкие ребята, добавить не чего.Что меня смутило - после посещения и их рекомендаций по замене дисков и колодок, загорелось - замените колодки через 5000 км (в рекомендации после ТО замените колодки и тормозные диски по кругу и это на 42 т.км), проехал 15 т.км, так ничего и не выдало (ошибка пропала через 5 т.к.), после очередного ТО опять загорелось. в рекомендации сейчас только колодки. Что то прописывают в мозг авто.",Знаток города 7 уровня,23 декабря 2019,4
Максим,"Самый лучший сервис. Начиная с охранника на парковке, который первый произвел дружелюбное впечатление. Заканчивая менеджером, который смог ответить мне на вопросы быстро и профессионально. Девушки, на ресепшене(очень красивые) в зоне сервиса, помогли быстро сориентироваться мне.",Знаток города 3 уровня,4 декабря 2019,5
Alex,"Не понятен сервис, работают не для клиента, а за счёт клиента... Качество самого сервиса сомнительное (зависит на какого мастера попадёте)... Гарантийное обслуживание для них не аргумент, отказывать будут не задумываясь и с сомнительными аргументами, а клиенту прийдется доказывать свою невиновность в поломке, но это никак не повлияет на их настрой и найдут другие причины не выполнять ремонт по гарантии, и чек оплатить попросят. Не тратьте нервы, время и деньги.",Знаток города 11 уровня,21 ноября 2019,2
Valery Levitsky,"Автодом - это крупнейший ОД BMW d Москве, а когда-то здесь были цеха по ремонту Запорожцев. Как клиент с 15-летним стажем, сообщаю: если вы любите скроить по 100 рублей на литре масла и ищете дешевого сервиса - вам не сюда. Мне нравится этот автосервис за огромный склад, оперативность, вкусный кофе и красивых девушек на ресепшен. Желаю процветания!",Знаток города 8 уровня,17 января,5
Алексей Ремизов,"Собственная парковка.Вежливые менеджеры,всегда быстро и качественно обслуживают,предлагают чай и кофе.Всем рекомендую!Профессионалы своего дела!",Знаток города 8 уровня,8 февраля,5
Ромашка Кристина,"11 января муж приходил в салон, присматривал новую машину и был готов к покупке. А салон будто вымер! После длительных, но, на мой взгляд, бессмысленных поисков, продавцы нашлись все в одном углу. Они о чем-то громко смеялись и разговаривали, не обращая ни малейщего внимания на покупателей. Безолаберность и непрофессиональное поведение.",Знаток города 13 уровня,16 января,1
Александр И.,"Лучший сервис БМВ в Москве! Много классных специалистов, которые более 10 лет работают в этой компании. И соответственно справляются с поставленными задачами на ура! 👍👍👍",Знаток города 5 уровня,13 февраля,5
Alex Z.,"Соответствует всем современным требованиям на рынке авто, обладает сервисом с высококлассными специалистами и для самого требовательного клиента, есть на что обратить внимание ведь это BMW",Знаток города 5 уровня,3 февраля,5
Александр П.,"Ну что рассказать. Машину брали на фирму. BMW760. Хотя менеджеры доподлинно знали, что приехали водилы забирать, но были безупречно вежливы. Бензина ноль, конечно. Но там по Зорге в сторону Алабяна в 500 метрах заправка Лукойл",Знаток города 8 уровня,26 сентября 2019,5
Игорь Д.,"Главное качество автодилера (его сотрудников) - честность по отношению к клиенту. У сотрудников даннного автосалона это моральное качество присутствует. Все честно, прозрачно и в согласованные сроки.",Знаток города 5 уровня,24 января,5
Ju K,"Лучший сервис по Мини, дешевле и профессиональнее Авилона. Строго и тщательно выполняют гарантийные случаи. Поменяли мне лобовое стекло, т.к. обогрев не работал частично. Хорошее качество диагностики. Приятный офис, вежливый персонал. Много лет с вами.",Знаток города 12 уровня,5 февраля,5
Марселес Уоллес,"Очень понравился мотосалон, персонал состоит из людей, которые сами являются владельцами мотоциклов БМВ, что очень ВАЖНО!!! Отдельное спасибо Александру Оборневу.",Знаток города 11 уровня,4 ноября 2019,5
Виктор Г.,"Понравилась работа сотрудников. Нужные запчасти оказались в наличии, и можно было сразу отремонтировать машину. Другой салон искать не стал. Работа понравилась, принял все без вопросов. Машина до сих пор в отличном состоянии.",Знаток города 2 уровня,16 марта,5
Варвара Т.,"Качество обслуживания клиентов, мягко говоря, оставляет желать лучшего. Многие менеджеры плохо квалифицированы и не могут ответить на элементарные вопросы, связанные с автомобилем или с акциями, дают ложную и неполную информацию об условиях проведения работ и акций, которые проводятся в салоне, при этом сам тон общения порой трудно назвать вежливым. Проверяйте все, что фиксирует менеджер в заявке и заказ-наряде, просите все документы и бумаги о выполненных работах, точно узнавайте, что и как будут делать с автомобилем и сколько это займёт времени. Менеджерам и механикам Автодома на Зорге нет доверия! Есть много фактов, которые говорят о том, что многие работы проводятся по-серому. Не буду расписывать тут свою историю, которая длилась пол года и началась с халатного отношения менеджера, но дело чуть не дошло до суда и мне пришлось потратить очень много своих сил, времени и нервов. Поэтому, не смотрите, что это самый первый Автодом в России и официальный дилер, качество работ вызывает большие сомнения и все это надо контролировать, как и в любом другом автосервисе, только цены в полтора-два раза выше. Расслабиться и получить обслуживание на высшем уровне тут точно вам не удастся.",Знаток города 6 уровня,6 августа 2019,2
Александр и.,"Более 7 лет обслуживаюсь и радуюсь в тех центре на Зорге, небольшая неприятность привела меня в данный сервис (сам выбрал) по направлению страховой компании и привезли меня не на эвакуаторе-нормально своим ходом, на чем и закончилась моя радость.Ну просто ооооочень долго все делают (можно сказать что-то делают), быстрее можно МКС починить на орбите , 20 дней почти без машины и сег узнал что еще денька четыре.....интересы клиента мало кого интересуют. Сюда больше не приеду,очень все медленно, и всем всеравно......",Знаток города 2 уровня,9 сентября 2019,2
Feofucker,"Обслуживаюсь тут два года ,иногда нужно давить на менеджеров ,чтобы механики не добавляли лишнего в заказ-наряды.И на то что вы поменяли у дилера действует гарантия на год ,пару раз помогло сэкономить!",Знаток города 6 уровня,1 февраля,5
Александр З.,"Удобное место для приобретения мотоциклов BMW, был приобретён мотоцикл с самой большой скидкой которую можно было получить в Москве.",Знаток города 24 уровня,15 января,5
BobSinclar,"Пошлое местечко. Менеджер напрямую мне сказал: мне выгодно продать вам подороже, откровенно говорить с вами я не собираюсь. Кто таких и зачем там держит?! Не рекомендую, на севере в Алтуфьево есть адекватные люди, где я и купил свой БМВ в итоге и рад.",Знаток города 7 уровня,19 октября 2019,1
Сергей Капранов,"Отдел продаж бмв - как макдоналдс. Через месяц приходишь - новые лица. Зимой приехал на первое то. Говорят мой менеджер уже не работает. А напарника его, кот отдавал мне машину, вообще никто не знает. Лица новые какие-то. А так всё норм...",Знаток города 4 уровня,21 декабря 2019,5
Nadezhda Lavrova,"Красиво, рядом с домом, прекрасные консультанты, хороший выбор мото аксессуаров бренда BMW.",Знаток города 6 уровня,19 декабря 2019,5
Андрей М.,"Самый первый салон БМВ в России. В целом, неплохой сервис, девочки в отделе страхования прекрасные, но иногда косяки бывают. Рекомендую.",Знаток города 8 уровня,8 октября 2019,4
leo,"Почти всегда в наличии любые запчасти. Клиентоориентированность. Большая ремзона, всегда готовы показать ход работ. Нормочас неадекватный((.. В остальном, нормально",Знаток города 7 уровня,14 октября 2019,4
Галина К.,"Нравится обслуживание: быстро, качественно. Классные специалисты. Приветливый персонал.",Знаток города 3 уровня,13 октября 2019,5
Анастасия Майзова,"Маленький, но по мне самый красивый шоу-рум бмв. Идеально чистый туалет без посторонних запахов, даже наоборот приятный!",Знаток города 8 уровня,9 февраля,5
Alex,"Удобное месторасположение! Николай Тыщенко сотрудник отдела приёмки BMW хороший специалист, рекомендую!",Знаток города 6 уровня,18 января,5
Станислав Б.,"Пытался купить там автомобиль...Мало того,что нужного мне просто не было в наличии,то на заказ предложенная цена была выше чем у других дилеров на аналогичный авто.Купил у другого дилера из наличия в итоге...Но обслуживаю в Автодоме.Качеством доволен!Из плюсов могу также выделить,что старый авто по трейд-ин оценили выше чем у других,но при завышенной цены продажи нового авто этот факт должного эффекта не произвел...",Знаток города 7 уровня,28 августа 2019,5
Алена А.,"Мой любимый автодом, я его люблю больше всех. Отличные сотрудники, красивые машинки, работают на 5 баллов",Знаток города 9 уровня,9 февраля,5
Armen A.,"Более 5 лет являюсь клиентом Автодома на Зорге. Всё, очень даже, неплохо. Надеюсь, что с каждым годом, они будут совершенствоваться. Успехов!",Знаток города 4 уровня,22 декабря 2019,5
Инесса,"Салон как салон. Есть парковка. Дают карточку на бесплатный напиток во время ожидания. Сам кафетерий дорогой - чайник обычного чёрного чая 700₽. Камон, за что такие деньги?",Знаток города 7 уровня,14 марта,5
Юлия К.,"Отличный сервис. Внимательные менеджеры (отдельная благодарность Андрею Еременчуку), быстрый ремонт, никаких претензий.",Знаток города 2 уровня,11 декабря 2019,5
Виталий Хомов,"Мотосалон понравился. Отдельное помещение для мотоциклов. Большое количество мототехники. Увлеченные, знающие менеджеры. Предложили тест. При этом ненавязчивые. Понравилось. Из BMW, на мой взгляд, один из лучших.",Знаток города 3 уровня,23 августа 2019,5
Михаил К.,"Пишу отзыв по результатам 3-ех летнего обслуживания.Все хорошо с сервисом пока нет проблем, потом начинаются танцы с бубнами, и нелепые оправдания:1. Предложат вам замену неведомой фигни по гарантии, после согласия позвонят и скажут, что гарантия кончилась и детали нужно оплатить так как их уже поставили.2. менеджер на ТО с удвольствием предложит доп. услугу за двойной прайс (типа антидождь или мойку под капотом), которую просто забудут сделать. а приехав домой на машине которую помыли из шланга обнаружить, что антену скрутили (не понятно зачем) и оставили лежать в багажнике.3. Попросишь оставить расходники в багажнике - выкинут, и позовут старшего смены утверждать, что дворники были заменены, а то что они трут так фигово, так это потому что стекло не ровное, здорово что на СТО есть камеры, но на просьбу показать запись просто поставят новые дворники, которые выравнивают стекло видимо.4. скажет приезжать в любое время, но потом приходится ждать около получаса пока он освободится",Знаток города 10 уровня,17 октября 2019,3
Сек Михаил,"Один из первых дилеров этой марки.Также и Мини Купер и мотоциклы не забываем. Высокий профессионализм сотрудников и большой опыт, по крайней мере раньше был...Все понятно и просто. Единственное, что здание наверно морально устарело. Буфет неплохой..",Знаток города 24 уровня,15 сентября 2019,5
Shifu S.,"НЕ ПРИЕЗЖАЙТЕ НА ТО И РЕМОНТ! Сервис - полная некомпетентность. Я про авто. Про мото не знаю.О чем я: находят несуществующие неисправности, откровенно впаривают работы, которые делать не нужно. Машины специально держат по несколько дней, чтоб надуть счет и написать ярд лишних часов!ПРОВЕДИТЕ ПОВТОРНУЮ ДИАГНОСТИКУ В ДРУГОМ МЕСТЕ - ВЫ БУДЕТЕ ОЧЕНЬ УДИВЛЕНЫ РЕКОМЕНДАЦИЯМИ АВТОДОМА!Кроме того, у ребят звездная болезнь. Работая в салоне БМВ они, видимо, достигли профессионального потолка и начинают проявлять снобизм. Вернитесь на землю, божественные вы мои!Сами пишут себе хорошие отзывы, а плохие стирают. Это, к сожалению, доказанный факт. Может здесь не получится стереть.",Знаток города 2 уровня,17 июля 2019,1
А,Только положительные впечатления. И сервис отличный и по покупке авто/мото тоже все хорошо,Знаток города 8 уровня,5 октября 2019,5
Алексей Л.,"Мастера на приемке - замечательные. Продавцы - очень контрастно: есть милейшие люди, есть - «заевшиеся», причём сильно. Касса - злыдни)",Знаток города 6 уровня,23 декабря 2019,4
Сергей С.,"обычный дилер , есть старинные машины и масштабные модели BMW очень интересно посмотреть )))",Знаток города 9 уровня,16 марта,5
P.B.,"Данный бренд рулит, менеджеры тоже не отстают, скидки приходиться с боем выбивать, подарки по приоре не предусмотрены. Не легко и продавцам и покупателям.",Знаток города 16 уровня,16 октября 2019,5
Serj Sergienko,"Отличный дилер BMW. В сервисе регулярно проходят акции, колл центр об этом вежливо рассказывает и записывает Вас на сервис.",Знаток города 4 уровня,4 ноября 2019,5
Владимир К.,"Офицтальный дилер БМВ номер 1 в Москве. Качественно, профессионально, с гаоаньией на работы. Кроме Зорге еще три адреса в Москве (см. на сайте).",Знаток города 2 уровня,15 марта,5
Руслан Файзов,"Высочайшие профи, лучший сервис от лучшего дилерского центра, что ещё нужно владельцу BMW! Молодцы😉✌️",Знаток города 8 уровня,14 ноября 2019,5
Сергей,"Я обслуживаюсь в Автодоме с 2008 года. Всегда нахожусь в рем—зоне, когда обслуживают мой автомобиль. Доверия нет никакого, поэтому всегда всё лично контролирую. При мне все работы осуществляются качественно, нареканий нет. Квалифицированный персонал, опытные сотрудники, ценник конечно зашкаливает, но надо быть готовым, когда покупаешь БМВ. Уютное кафе, хорошее меню. Отличный выбор аксессуаров в магазине. Какая-то мутная система накоплений, раньше было все намного понятней.",Знаток города 6 уровня,20 ноября 2019,5
Андрей Ткаченко,"великолепное обслуживание и опытный персонал, особо отмечу менеджера по продажам ТКАЧЕНКО Андрея",Знаток города 3 уровня,4 ноября 2019,5
Елена И.,"Отличный салон. Внимательные сотрудники , чистенько, и комфортно там находится.",Знаток города 2 уровня,20 ноября 2019,5
Богдан Душич,"Вежливые сотрудники, все рассказывают и подбирают хорошие авто, но цены заламывают, пытаются продать то что уже и так в вашем авто. Накручивают цены",Знаток города 6 уровня,20 января,3
Майкл Ассефа,"Хорошее место, чтобы купить двухколесного друга. Менеджеры занимающиеся мото очень профессиональные и участливые. Про автомобильных менеджеров комментариев нет - не покупал, не общался.",Знаток города 9 уровня,30 июня 2019,5
Стас С.,Старейший дилер! Много лет покупаю и обслуживаюсь здесь. Все нравиться. Рекомендую.,Знаток города 8 уровня,11 октября 2019,5
Дмитрий Л.,"Всегда хороший сервис, удобное расположение. Хромает только Парковка перед ДЦ",Знаток города 5 уровня,21 января,5
Olga S.,"Мне все понравилось, запись быстрая, все детальки есть в наличии, менеджеры адекватные",Знаток города 4 уровня,1 октября 2019,5
Дм П.,"Одно из старейших дилерств BMW города Москвы. С парковкой всегда напряги, но можно попытаться встать со стороны Mini и Motorrad",Знаток города 13 уровня,25 февраля,5
Well Well2net,"Вполне хороший центр, цены более демократичные, чем у других дилерских центрах bmw mini",Знаток города 5 уровня,3 декабря 2019,4
Ирина К.,"Странный подход менеджеров, скорее всего это не их вина, такая установка сверху, сначала называют нереальную цену, потом не дают покоя со звонками",Знаток города 7 уровня,7 января,2
Виталий З.,"По моему мнению, один из лучших дилеров «голубых пропеллеров» отделение Motorrad, радует новыми моделями, аксессуарами, мотоодеждой, большой склад Авто и Мотозапчастей, есть одежда для мальков, а также велосипеды, детские машины, включая электрические, мотоциклы , ништяки для взрослых и детей, без покупок- не ухожу!",Знаток города 8 уровня,6 декабря 2018,5
yulia_ash,"Второй раз покупала bmw в Автодоме на Зорге. Всегда приятные впечатления от покупки. Менеджеры действительно хотят сделать хорошее предложение, заинтересованы в клиенте даже после продажи авто. Все профессионалы и приятные люди: и в трейд-ин, и в отделе страхования. Особенная благодарность Анне Пелих за её искренее участие в том, чтобы покупка дорогого автомобиля была легкой, быстрой и приятной!",Знаток города 7 уровня,2 февраля 2019,5
Владислав А.,"Хороший центр. Рекомендую. Кстати у них есть раритетные БМВ, с которыми можно сделать селфи :)",Знаток города 6 уровня,11 марта,5
Avtolab77 Студия Автостайлинга,Кафе просто оскорбило !! Какое ужасное кофе Бургер АвтоДом 😱Первое впечатление о клиентах у менеджеров ошибочно и общаются очень пафосно !!!,Знаток города 4 уровня,26 декабря 2019,3
Александр В.,"Записали на замену цепи/звезд на условиях использования их расходников (работа+расходники). В день, на который был записан, в наличие расходников не оказалось, работы провести невозможно. Сорвали планы на день (запланировал визит), а также на последующие выезды на мотоцикле (нужно искать других поставщиков цепи/звезд и сервис).",Знаток города 4 уровня,28 июля 2019,1
ipage.am,"Ехал на сервис Мини Кантримена, на ТО. Приятно встретили, забрали машину, сделали, через час вернули, угостил и чаем 👍",Знаток города 10 уровня,20 января,5
BSV,"Обслуживаю две машины здесь. Отношение персонала внимательное, лишних работ не навязывают, как в других дилерских центрах. Был один гарантийный случай ( меняли задние блок фары в f48)- согласовали все сразу и без проблем. Единственное, что не понравилось- один раз не работал терминал по приёму карт, пришлось платить наличными. Эту было неудобно. Все остальное - норм.",Знаток города 5 уровня,3 октября 2019,5
Иван К.,"Приятный автосалон, мне нравится обслуживание, клиентоориентированность персонал",Знаток города 5 уровня,10 ноября 2019,4
Сергей В.,Обычный салон БМВ . Приобретал машину в данном салоне. Все прошло нормально. Хорошее кафе.,Знаток города 5 уровня,18 января,5
Андрей Л.,Маленький и скромненький для БМВ офис с ненавязчивыми менеджерами и высокими ценами машин...,Знаток города 8 уровня,17 октября 2019,3
Виталий,"Место на парковке найти тяжеловато. Ехали посмотреть новый Х5, девушка на ресепшен дала прекрасный ответ, что модель дефицитная, заказывайте так, смысл на нее смотреть ((( Квалификация персонала оставляет желать лучшего (((",Знаток города 18 уровня,30 июня 2019,3
Инна Л.,"Не очень удобное расположение, но качество обслуживания все компенсирует",Знаток города 4 уровня,15 января,5
Pavel Roytberg,Хороший выбор мотоциклов. Если у вас уже есть - дружелюбный персонал.,Знаток города 5 уровня,29 ноября 2019,4
Р. Антон,"Проходил ТО осенью 2019, Кузнецов В. всё оформил быстро, без лишних вопросов. Машину отдали раньше расчетного времени.",Знаток города 6 уровня,26 октября 2019,5
Василий Г.,Сотрудники диагностики лучшие люди на свете!! Если нужно именно починить БМВ а не поменять наугад все подряд вам именно к ним..,Знаток города 7 уровня,7 ноября 2019,5
Владимир Темный,"У меня такое ощущение что по Акции, при замене рулевой рейки , ее не поменяли , так как Замена была выполнена за пару часов",Знаток города 6 уровня,26 сентября 2019,3
Мария И.,"Отличный менеджмент, вежливые консультанты, и большой парк машин на тест драйв. Лучший дилерский салон Мини в городе",Знаток города 7 уровня,12 августа 2019,5
decolour,"Остались ужасные впечатления от посещения этого дилерского центра. Приехал с проблемой троения двигателя на холостых оборотах. Машину приняли и сообщили о том, что нужно промыть форсунки и все станет хорошо. За промывку форсунок взяли 7000 рублей, но, проблема не ушла, о чем я сразу же сообщил. Отпустили, попросив поездить немножко и если проблема не уйдет — вернутся. Но, сюда я уже никогда не вернусь. Проблема оказалось в том, что слетел патрубок воздухазабора с хомута. Т.е ребята механики даже капот не открывали, судя по всему.",Знаток города 10 уровня,4 марта 2019,1
Honda C.,"Отвратительный сервис. Клиентоориентированность - 0. После посещения сервиса царапины на кузове, дисках. Повреждение салона авто. Внимательно проверяйте авто при приемке из сервиса! Не официальный дилер, а гаражная шарага!",Знаток города 9 уровня,16 сентября 2019,1
belflexopack.ru b.,"Меняли подушку пассажира, по отзывной Акции. При приемке вернули с торчащей во все стороны панелью. Видно что им наплевать как делают и о дают. Контроль за исполнением никакой. Приёмщик что-то блеял не внятное. Переделали (защелкнули ). Вернули с непонятным блеяньем о том что нужно было защёлкнуть. Извиниться за криволапие мозгов не хватило..... Официальный Диллер. ........",Знаток города 6 уровня,23 марта 2019,2
Dima Stakov,Мало места на парковке когда приезжаешь к ним. А так у них большой шоурум с машинами. Рядом ещё мотоциклы продают они же. По наличию запчастей тоже неплохо,Знаток города 21 уровня,13 октября 2019,4
Александр Л.,"Специально поехал сюда на ТО потому что новым клиентам скидка 25% на работы. Скидку не дали, потому что я уже обращался к ним - зимой покупал спрей от запотевания стекол за 500р. Ничего сделать не можем, сказали. Ну ок, клиентоориентированность..",Знаток города 8 уровня,23 июля 2019,1
Мишка Мысякин,"Хороший автоцентр работает очень довно, хорошие обслуживание. Хорошие менеджеры.",Знаток города 5 уровня,18 ноября 2019,5
Вячеслав Кларк,"Работал там, нормальное место хороший коллектив и вроде довольные клиенты)",Знаток города 9 уровня,10 февраля,5
Иван Ветров,Адаптивно подходят к каждому клиенту!Просто красавцы. Да и салон оформлен с явной любовью к баварцам),Знаток города 5 уровня,21 марта,5
Igor B.,Хороший выбор мотоэкипировки. Размерный ряд полный. Работают профи.,Знаток города 9 уровня,4 октября 2019,5
Роман Ш.,"Остался доволен, всё показали и рассказали. Менеджеры вежливы и компетентны. К сезону планирую обновиться именно у них!",Знаток города 8 уровня,17 сентября 2019,5
Andrey M.,"Один из лучших дилеров, старейший причем. Обслуживание, качество сервиса, общая атмосфера - всегда на высоте. Рекомендую!",Знаток города 7 уровня,7 июля 2019,5
Pavel K.,Отличный мото салон! Грамотные консультанты !!! СПАСИБО!,Знаток города 5 уровня,21 января,5
Natalya B.,"Близко к дому, комфортно добираться, адекватные сотрудники)",Знаток города 3 уровня,26 января,4
Алексей Е.,"В незаметном, но доступном месте. Вежливые работники. Просторно, чувствуешь себя, как дома.",Знаток города 21 уровня,1 сентября 2019,5
