Author,Review,Profession,Date,NumberOfStars
Oleg.A,Грамотный персонал. Не навязывают лишнего.,Знаток города 13 уровня,11 марта 2019,5
Дмитрий С.,Приличный автосалон и сервис.,Знаток города 7 уровня,6 июля 2019,5
Илья К.,Самый лучший дилер БМВ в Питере!,Знаток города 5 уровня,30 апреля 2019,5
Дмитрий Н.,Все ок. Но все дороже чем у остальных(сервис и авто),Знаток города 7 уровня,5 февраля 2019,4
Иван М.,С заботой и вниманием к каждому🔥👍🤩,Знаток города 4 уровня,1 июня 2019,5
SipliviyYuriy,Квалифицированный персонал,Знаток города 6 уровня,9 мая 2019,5
Виктор С.,В трейдине у них в основном живые машины.,Знаток города 7 уровня,5 апреля 2019,5
Евгений,Очень компетентный персонал отдела сервисного обслуживания.,Знаток города 16 уровня,19 июня 2019,4
Антон К.,Рекомендую сервисное обслуживание.,Знаток города 8 уровня,30 декабря 2019,5
Александр Ц.,Отличный салон. И вкусный кофе.,Знаток города 6 уровня,22 декабря 2018,5
Александр М.,Все супер,Знаток города 5 уровня,8 марта,5
Кирилл Раковский,Здесь Дом BMW! это потрясающее место!,Знаток города 11 уровня,1 ноября 2018,5
Владимир П.,Хороший сервис..!,Знаток города 14 уровня,25 сентября 2019,5
April,Приятная атмосфера. Стараются.,Знаток города 3 уровня,24 января 2019,4
Масяня Г.,"Всё быстро, вежливый персонал",Знаток города 7 уровня,28 ноября 2018,5
Pavel S.,BMW есть BMW. Все на уровне.,Знаток города 11 уровня,9 марта 2019,5
aleksmalihe,"Приятная атмосфера, вежливый персонал.",Знаток города 9 уровня,28 июня 2019,5
Владимир И.,"Встречал надменное общение, постоянно пиарят свои зч",Знаток города 5 уровня,29 ноября 2018,4
Alexandr D,"Симпатично, ненавязчиво",Знаток города 6 уровня,3 марта,5
Антон Боленков,Хороший салон.,Знаток города 6 уровня,19 сентября 2019,5
Павел,Уехали на машине) все ок. Дали скидку при покупке бу 5%,Знаток города 8 уровня,11 октября 2018,5
gennnn2017,"нормально все, хотя присутствуют и недочеты.",Знаток города 14 уровня,2 октября 2018,4
qw q.,Вежливые сотрудники,Знаток города 5 уровня,17 июня 2019,4
Алексей С.,Не обслуживают ничего кроме БМВ,Знаток города 6 уровня,3 декабря 2019,1
Михаил С.,расходятся слова и дело,Знаток города 8 уровня,12 мая 2019,3
sat s.,В целом-хорошо.,Знаток города 7 уровня,14 августа 2019,4
Кирилл П.,Обслуживание оставляет желать лучшего...,Знаток города 8 уровня,4 октября 2018,3
руслан простов,"Отношение хорошее ,цены дорогие",Знаток города 7 уровня,11 декабря 2018,5
Рустем,"И салон, и сервис, и персонал соответсвуют статусу марки.",Знаток города 7 уровня,6 июня 2018,5
Екатерина По,Нет огромных очередей,Знаток города 7 уровня,9 апреля 2019,3
Кристина Б.,Пока довольна сервисом,Знаток города 3 уровня,1 марта 2019,5
Амурский,"Сегодня(06.06.15)по телефону столкнулся с абсолютно неадекватным сотрудником отдела продажи мотоэкипировки по имени Екатерина, которая с первых же секунд разговора начала мне доказывать, что я ничего не понимаю в продукции BMW, постоянно перебивала меня и вела себя абсолютно по хамски, изливая словесный понос в мои уши без остановки. Приходится с сожалением констатировать тот факт, что в автосалонах бизнес-класса всё еще работают сотрудники, не обученные работать с клиентами. Из-за подобного быдла среди персонала формируется стойкое неприятие к автосалону в целом, т.к. каждый сотрудник является лицом компании. Больше в этот автосалон не собираюсь обращаться ни по какому поводу и другим не советую, благо есть альтернатива в лице других дилеров BMW.",Знаток города 2 уровня,6 июня 2015,1
Никита С.,Шикарный салон,Знаток города 4 уровня,10 апреля 2019,5
Илья З.,Всё долго,Знаток города 4 уровня,11 сентября 2019,1
Victor Radolin,Все ок,Знаток города 11 уровня,25 сентября 2019,5
Сергей О.,Хорошо но дорого!(,Знаток города 12 уровня,20 декабря 2018,5
Владимир К.,Хороший сервис!,Знаток города 5 уровня,14 февраля 2019,5
АК,"Отличный сервис, ужасный отдел продаж и худший менеджер трейд-ин.",Знаток города 15 уровня,29 сентября 2018,3
Nikolay S.,Хороший сервис.,Знаток города 3 уровня,30 декабря 2018,5
Юрий Ч.,Неудобная парковка,Знаток города 6 уровня,3 сентября 2019,4
Павел Т.,Отличное обслуживание!,Знаток города 5 уровня,18 августа 2018,5
Станислав М.,Ужасный сервис.,Знаток города 4 уровня,15 октября 2018,1
Андрей Н.,Цены космос.,Знаток города 9 уровня,19 ноября 2018,4
Андрей Сайнес,Буду ездить только сюда на ремонт,Знаток города 3 уровня,10 марта 2018,5
Denis Pampushkin,Всё отлично,Знаток города 7 уровня,16 декабря 2018,5
А.П.,Отличные консультанты в отделе Мини,Знаток города 14 уровня,2 сентября 2018,5
Константин Аверкиев,Очень приятные сотрудники,Знаток города 6 уровня,4 февраля 2018,5
Марсель Ахмадуллин,МНОГО АВТО,Знаток города 5 уровня,25 февраля 2018,5
chester5798,Хороший салон,Знаток города 11 уровня,23 сентября 2018,5
Владимир А.,"Отличный салон! Проходил первое ТО в этом салоне, долго выбирал салон, так как есть опыт с еще одной БМВ, знаю все проблемы салонов...На салон наткнулся случайно, рядом работаю, заехал народу мало (Новый салон,еще мало народу знает). Записался на следующий день, приехал приняли в положенное время, ТО длилось 2 часа (это с оформлением документов), был приятно удивлен! По сравнению с другими салонами 4-5 часов.Самый большой плюс - это зона ожидания, стекло, сидишь и смотришь как работают с твоей машиной! Это очень важно!Ранее мне не раз, выдавали машину поцарапанную. Есть небольшое кафе, кофе, чай, снек(еды не было), я и не спрашивал, может и было!Машину принимал Евгений Стрельников, отличный менеджер - 10+! Один маленький минус. не показали сменные материалы по окончание ТО, а это всегда настораживает! Хотя я склонен доверять людям, это так совет на будущие. люди разные)Салон рекомендую!",Знаток города 6 уровня,17 декабря 2019,5
Максим К.,"Очень приятное место. Тем более после покупки там новой тачки!)). Светлый, современный комплекс. Зона продаж, зонв сервиса, зона хранения, все вместе ииочень удобно и быстро. Персонал приветлив и достаточно профессионален. Есть бар, где можно скоротать время ожидания. Вообщем, оставляет приятное послевкусие.",Знаток города 9 уровня,7 декабря 2019,4
Никита Б.,"Жаль что с покупкой нового авто премиального класса , сталкиваешся с полным не профессионализмом продавцов... Так же камень в огород руководителя отдела продаж , в данном салоне ( Владимир помоему ) т е за свои деньги покупатель должен еще сам себе продать авто , ну и на этом сделка закончится .Советую руководству посмотреть в сторону отдела продаж и их полным незнанием техник продаж ! Так же всех менеджеров направляйте на стажировку в мерседес , тк там знают что нужно клиенту за такие деньги.P.S С восересения я ожидал предложения всю неделю , при этом как всегда оказалось что менеджер забыл ...Ну а может и к лучшему , ведь мы выбрали между Х и GLE в сторону звезды .Всем спасибо !",Знаток города 5 уровня,16 февраля,1
Даниил,"Приятный салон, со всеми последними новинками. Из минусов: небольшое количество авто представлено, но это можно понять, учитывая локацию салона.Удобная парковка за салоном.",Знаток города 7 уровня,3 февраля,4
Вера Х.,"Вполне приятные впечатления остались. Сотрудники неплохо справились с обслуживанием, и ценовая политика у них адекватная.",Знаток города 4 уровня,13 декабря 2019,5
Александр П.,"Втихаря выстроили дилерский центр на пяточке, размером с хоккейную коробку. Итак дышать уже нечем, а теперь машины клиентов салона и сервиса в двух местах пересекают тротуар, разгружаются автовозы. Короче, о людях никто не думает, только деньги. Капитализм, увы.",Знаток города 16 уровня,10 октября 2019,1
Владимир Ерёмкин,Самый профессиональный автотехсервис в Москве. Все очень на высоком уровне. И общение сотрудников и их ответственность за проделанную работу соответствуют уровню центра АВТОДОМ.,Знаток города 8 уровня,9 ноября 2019,5
Федор Г.,"Новый Автодом, хорошее обслуживание, приятное место, мало народу, всегда есть возможность записаться на ближайшие время.",Знаток города 3 уровня,29 ноября 2019,5
Жигунов Д.,Один раз отвозил машину на ремонт в Автодом. Мастер понравился. Профессиональный и грамотный специалист. Прблему выявил очень быстро и также быстро устранил.,Знаток города 2 уровня,2 марта,5
Евгений Д.,"Пустые обещания, с целью заманить клиента и постоянный обман, за одну историю ""покупки машины"" 6 раз. Сначала у нас всё есть и мы всё можем, через несколько дней - на самом деле у нас нет и мы этого этого и этого не можем. В итоге ушёл к более честному ОД. Зря потратите своё время",Знаток города 5 уровня,27 января,1
Betterbe,По телефону обещали новый х1 на полном приводе с камерой и кожаным салоном продать за 2.2 млн. Я переспросил несколько раз не развод ли это. Но в итоге меня мучали два дня после того как я приехал сюда и цену дали 2.4+. Менеджер ошибся и т д,Знаток города 7 уровня,7 марта,1
Владимир Терещенко,"Администраторы очень плохи, даже не были на рабочем месте. Мастер который принял машину был молодец его работа на 5 балов. Остальное оставляет желать лучшего",Знаток города 5 уровня,7 октября 2019,2
Бор Н.,"Летом поменял колодки и тормозные диски в своем дц. Работы было много, но машину вернули уже на следующий день. За скорость отдельный плюс.",Знаток города 5 уровня,17 ноября 2019,5
Макс,"Прекрасный, уютный новый салон, отличное обслуживание, домашняя атмосфера, персоналу отдельное СПАСИБО!)))",Знаток города 7 уровня,20 августа 2019,5
Fo-to,"Дорогой салон машин .В данном месте, на против детской больницы , при этом закрывает фасад государственного учреждения . Выглядит более чем нелепо .",Знаток города 11 уровня,27 ноября 2019,3
Сергей,"Без предупреждения списали накопленные бонусы. Оперативно перезвонили, вопрос решён.",Знаток города 4 уровня,20 марта,5
Анна Астахова,"Очень хорошее место для покупки машины , там есть такая красивая машина .",Знаток города 4 уровня,12 декабря 2019,5
Юлия Н.,"Менеджеры в салоне профессиональные, все подробно рассказали, провели тест-драйв, осталась довольна. Планирую покупку у них",Знаток города 2 уровня,22 августа 2019,5
Оля Д.,"Бывают приятные акции на некоторые сервисные услуги. Постоянно их мониторю. Хорошая экономия получается, и машина в отличном состоянии.",Знаток города 3 уровня,6 сентября 2019,5
Панин С.,Прекрасный офис! Близко к дому ! Я клиент Вашей группы компаний! Спасибо.,Знаток города 3 уровня,2 января,5
Сергей М.,Новый салон. Сервис на втором этаже. Организовано всё интересно. Можно через стекло наблюдать как обслуживают машины.,Знаток города 14 уровня,9 сентября 2019,5
Ирина Б.,"Машину купила! А неприятный осадочек остался! Купите в другом месте, свой любимый автомобиль!",Знаток города 8 уровня,27 декабря 2019,1
yabdexx,"Тихо, спокойно, не шумно. Сервис отработал отлично.",Знаток города 21 уровня,19 октября 2019,5
Арсен Д.,"Не плохой автосалон, хороший сервис, правда работы бывает выполняют не в срок!",Знаток города 3 уровня,27 сентября 2019,4
Максим П.,"очень понравился салон, все чистое и новое, сделали все быстро, аккуратно и вовремя, рекомендую 👍",Знаток города 2 уровня,28 мая 2019,5
Александр Войтович,"Большой автоцентр на варшавке, много машин выставлено. Есть что посмотреть",Знаток города 8 уровня,9 января,5
Valery S.,"Один из самых лучших дилерских центров! Удобное расположение, лучший коллектив!",Знаток города 2 уровня,20 августа 2019,5
eoi@best-realty.ru,Отличное место для прохождения ТО и покупки автомобиля!,Знаток города 5 уровня,5 декабря 2019,5
Никита Кот,"Лучший Диллер BMW в Москве! Обслуживание на уровне, как и должно быть.Классные ребята",Знаток города 3 уровня,5 июля 2019,5
в.л,"Проверяйте всю комплектацию автомобиля, перед подписанием договора.",Знаток города 5 уровня,24 декабря 2019,1
Alexander,"Хорошо, уютно, профессионально",Знаток города 4 уровня,9 марта,5
Сергей В.,Самый уютный и удобный дилер в центре,Знаток города 3 уровня,9 февраля,5
Чермен,Ответственно подходят к клиенту и его предпочтениям.,Знаток города 5 уровня,23 марта,5
Семен Т.,Непонятно что он тут делает? Не в звезду не в красную армию,Знаток города 10 уровня,23 марта,3
ЕугениусV,"Только что открывшийся салон.Не полностью работают все службы.Чисто, пафостно и дорого.",Знаток города 18 уровня,11 мая 2019,3
Олег Б.,"Приятное место.Удобная парковка.Менеджеры, как повезёт.",Знаток города 3 уровня,10 августа 2019,4
Good Girl,"Всегда пустой автосалон, машины тряпочкой протирают.",Знаток города 12 уровня,9 января,1
Антонина М.,Сервис оставил только негативное впечатление.,Знаток города 4 уровня,5 октября 2019,3
Игорь Токарев,Вдарим автопробегом по бездорожью и разгильдяйству,Знаток города 8 уровня,10 марта,5
Константин Р.,Доброжелательные сотрудники и замечательная атмосфера.,Знаток города 6 уровня,10 мая 2019,5
Nataliya S.,"Не была ,но за стеклом клевые тачки",Знаток города 5 уровня,4 октября 2019,5
ИРИНА Ш.,Вообще все супер! Лучший дилерский центр!!!,Знаток города 3 уровня,21 августа 2019,5
Вячеслав Ч.,Хороший автосалон БМВ,Знаток города 8 уровня,8 марта,5
Елена Ч.,"Красивые машины, прекрасное обслуживание!",Знаток города 3 уровня,20 августа 2019,5
l9shka28,прочитал как автодетдом,Знаток города 9 уровня,29 февраля,5
Екатерина К.,Отличный сервис,Знаток города 3 уровня,18 февраля,5
Юра,домашний автомагазин..полон звезд,Знаток города 19 уровня,18 сентября 2019,5
Влад В.,"Уютное место, приветливые сотрудники",Знаток города 13 уровня,2 июня 2019,5
akhtimk,Самый крутой салон в России!,Знаток города 4 уровня,6 сентября 2019,5
Александр Волков,Не торгуются),Знаток города 6 уровня,11 февраля,3
Mой Дед,"Новый автосалон БМВ АВТОДОМ,сервисное обслуживание и ремонт БМВ.Мне всё понравилось.",Знаток города 12 уровня,19 апреля 2019,5
Роман С.,Лучший дилерский центр BMW в Москве!,Знаток города 2 уровня,6 июня 2019,5
Дмитрий К.,"Небольшой, уютный, милые люди",Знаток города 9 уровня,13 февраля,5
Дмитрий,"Новый, уютный, очередей нет.",Знаток города 9 уровня,30 июня 2019,5
872853 Р.,Очень крутой салон,Знаток города 9 уровня,12 сентября 2019,4
Nikita L.,Все гуд,Знаток города 8 уровня,23 ноября 2019,4
Алексей Р.,Хорошее место!,Знаток города 2 уровня,21 августа 2019,5
Павел К.,Шикарное место,Знаток города 5 уровня,24 мая 2019,5
Дмитрий Т.,"Обслуживаю здесь свою 740d. Даже положительный отзыв решил написать))) Приемщики грамотные нормальные ребята, все быстро и вежливо. Всегда нахожусь в ремонтной зоне во время то. Относятся к машине бережно, мастера интеллигентные, доброжелательные. После ТО всегда звонит служба качества, в этом, видимо, залог успеха. Ездил в Автодом калибровать радар АСС, заготовил множество пожеланий для их службы качества, а мне никто так и не позвонил))))",Знаток города 5 уровня,28 февраля,5
Сергей,"покупка б/у бмв . все было хорошо до того момента, пока не внес предоплату за поддержанный авто, после внесения предоплаты отношение резко поменялось, сразу всем стало безразлично как проходит сделка, я сейчас занят, мой коллега сделает за меня, время тянулось, впарили колеса зимние, спрашиваю точно подойдут, да точно(оригинал диски и хорошая резина) , в итоге после мучений с оформлением, а следующий день поехал в шинку, сделали балансировку , сняли все колеса, а новые то и не подходят, 2к потрачено в воздух, позвонил менеджеру, да все решу , итог прошла неделя, замена не найдена( предложили один вариант китайских дисков с убитой резиной в стоимость оригинальных) отказался, и пока не пинаешь,никто ничего не делает, сказал что нашел сам резину, попросил вернуть деньги, теперь начинается новый круг бюрократии автосалона с возвратом денег..... так же дела обстоят и с обещанной заменой некоторых моментов, обещали в понедельник, но пока тишина(среда) каждый день напоминать надо! итог такой, даже обещая что колеса подойдут, вообще не факт что подойдут ,сервисники не разбираются ..... Авто доволен, а вот отношением после покупки крайне не приятно",Знаток города 2 уровня,23 октября 2019,3
Дмитрий,"Приехал чтобы приобрести х7 и сдать х5 в трейдин, 20 минут ждал менеджера и неоднократно обращалися к администрации чтоб его пригласили! Недождался и уехал! Такая же ситуация была в прошлом году, когда покупал 7ку! Нет слов кто там работает и кто ими руководит! Все ходят важные как индюки и разговаривают по телефону с таким видом как будто они хозяева автосалона! С момента открытия этого салона в 2008г очень поменялось отношение! я приобрел здесь 3 авто с 2008 по 2013Ставлю на нем большой крест !",Знаток города 10 уровня,13 февраля,2
Ilia S.,Покупал здесь автомобиль Самые приятные цены по сравнению со всеми остальными дилерами и очень профессиональная и качественная оценка автомобиля сдаваемого в трейд-ин,Знаток города 10 уровня,14 января,5
Юрий Б,"Ещё раз убеждаюсь, что это худший дилер БМВ. Зайдя в залог к нам никто не подошёл, дальше мы посмотрели и выбрали автомобиль сами и попросили пригласить менеджера отдела продаж новых автомобилей. Спустя 20 минут ожиданий к нам вышел молодой человек и представился продавцом-консультантом. Общался он с нами нехотя, отвечал на вопросы плохо, сложилось такое впечатление, что ему мы не интересны вообще. Через 15 мин общения, нам это все надоело и мы попрощались с ним и уехали покупать автомобиль к другому дилеру.",Знаток города 4 уровня,14 декабря 2019,1
Юлия Жаворонкова,"Покупаем и обслуживаем с мужем в этом салоне уже не первую машину. Всегда приятный сервис. Работаем уже несколько лет с одним и тем же менеджером. Была попытка уйти в другой салон (из-за территориального признака), но категорически не понравилось, вернулись обратно.",Знаток города 3 уровня,9 декабря 2019,5
Сергей Бритвин,"Приветливый персонал, хороший сервис и очень подробно объясняют все работы. После ремонта стало очень комфортным ожидание автомобиля.",Знаток города 11 уровня,11 марта,5
Константин Ч.,"Организация никакая, термен не владеет ситуацией, либо он просто недалекий человек, на территории хаос, перегонов не хватает, безграмотные администраторы компаунда, про машину могут просто забыть, не сравнить с другими мэджорами города. Единицы нормальных, но на фоне бездарей, они сливаются. Не хватает жесткой руки начальника. Факт.",Знаток города 3 уровня,5 декабря 2019,2
Valeriia P.,"Приезжали с супругом в данный салон для покупки нового автомобиля, очень пожалели что сюда попали, покупать марку как бмв пропало желание после общения с менеджерами, а хотя какое общении им было настолько все равно что мы хотим приобрести что они гоняли нас по всему салону в поиске свободного менеджера, если учесть то что в салоне было 0 покупателей. Вообщем все желание отпало, салон отравительный, персонал наглое хамло.Я думаю что все хорошие отзывы купленные или написаны самими сотрудниками.Если хотите приобрести автомобиль- покупайте, но не в этом салоне. Даже на простейший вопрос к менеджеру про доп услуги и комплектации, сказали читайте буклет там вся информация( хотя на буклете обычный рекламный текст).",Знаток города 11 уровня,24 июля 2019,1
Ратмир А.,"Непрофессионализм менеджера.Неуверенность и неубедительность.Ранее я в вашем салоне купил 2 машины, был грамотный менеджер.Я при входе попросил хорошего специалиста, но получил того, кого указал выше.Теперь я поехал в другой салон БМВ.",Знаток города 2 уровня,16 февраля,1
Катя,"Напишу кратко, полностью, очень много писать: сдала машину в ремонт(кузовной) и не забрала в назначенный день, ужасно и безобразно сделали. Хамское поведение сотрудников. Не отдавайте свои автомобили в MAJOR BMW и вообще в MAJOR, а лучше берите с собой опытного мастера, когда забираете свою машину.",Знаток города 2 уровня,17 октября 2019,1
Михаил С.,"Вчера вернулся из этого салона на новом BMW X5. Огромное спасибо Менеджеру Артёму Харламову за ответственное и душевное отношение к нам, своим клиентам!",Знаток города 4 уровня,25 октября 2019,5
Кирилл 7.,"Покупал и обслуживаю свой автомобиль в BMW Авто-Авангард на Новой Риге.В начале 2019 года, на пробеге 21 000, обратился с проблемой рывков при переключении передач. С момента первого обращения прошло полгода и около 7 посещений сервиса - решить проблему не могут. Каждый раз придумывают отмазки: перепрошили, посмотрели... ничего не видим... идите катайтесь дальше... рывки коробки на БМВ это норма.В крайний раз руководитель бригады заявил: ""можешь больше не приезжать, больше ничего делать не будем"". После этого, разговаривал с мастерами из других официалов. Заверили, что проблема решаема и знают как её решить в рамках гарантии.Но вот косяк, в случае устранения проблемы у иного нормального официального дилера, расторгается договор Major Plus на дополнительное гарантийное обслуживание... Вывод:1. BMW Авто-Авангард - дилер только для замены масла и не более. Если дорожите своим временем и автомобилем - посещайте иных дилеров.2. Не заключайте договора Major Plus. Как оказалось, это обычна разводка на удержание клиентов. Судя по отзывам. постоянно изыскивают моменты для отказа в гарантийном обслуживании по договорам Major Plus.",Знаток города 3 уровня,18 июня 2019,1
Галина Попова,"Отлично отремонтировали машину ,единственный минус ,что не сказали о спущенном заднем колесе,когда забирала автомобиль )Подкачать 5 минут ,а уровень сервиса был бы на высоте )",Знаток города 6 уровня,10 января,5
Сергей У.,Отличное место для покупки BMW!Спасибо менеджеру допоборудования.помогли с выбором шин.,Знаток города 5 уровня,28 декабря 2019,5
Александр Гришин,"Внимательные сотрудники. Чисто, уютно. Машины немецкие. Все настолько любезны, что иногда аж тошнит.",Знаток города 10 уровня,26 февраля,5
Алла Леонова,"Мне очень нравится ! Делают все быстро, все вежливые и вообще авто салон очень комфортный",Знаток города 5 уровня,27 ноября 2019,5
илья с.,"Проходили первое ТО. Раскручивали на деньги,как только могли. Машине полгода Х3. Подвеска хлюпает. Кожаное сидение скрипит. Мультимедиа переодически выбивается из работы. По гарантии ничего делать не хотят. Везде один обман.",Знаток города 3 уровня,6 января,1
Unnamed U.,Понравились менеджеры по продажам. Хороший сервис. Приятное место. Всегда называют финальную цену без «упс».,Знаток города 7 уровня,9 февраля,5
Юрий,Обслуживаю там машину. Сервис хороший. Там же в салоне мотоциклов брал тест драйв. Понравилось. Инструктаж и мотоцикл. Кстати скоро ехать на то),Знаток города 7 уровня,7 февраля,5
Антон Г.,"Достаточно наглый дилер. Звонят приглашают на ""черную пятницу"" , в итоге за авто более, чем за 5 миллионов и доп оборудование в 400 тысяч предлагают скидку в 70 тысяч рублей. Всё расчёты только у них в салоне. На контрасте с Volkswagen, где тебя облизывают, выглядит очень печально. Да, сейчас там ремонт, даже с кофе проблемы. Х5 в салоне выставлен.",Знаток города 6 уровня,16 сентября 2019,3
Марк Шихарев,"Персонал надменный. Чтобы с кем то пообщаться приходится стоять в очереди. Отдел мото вообще в полузакрытом состоянии, а все мотоциклы стоят в Major Auto",Знаток города 7 уровня,5 января,2
Nelliy Zagalova,Отнеслись с пониманием к желанию присутствовать во время технического обслуживания. Качеством ТО довольна. Спасибо,Знаток города 3 уровня,9 февраля,5
Николай С.,"Разбили зеркало, ремонт по направлению страховой был, в итоге машину в тотал признали, пока машина стояла разбили стеклянный элемент правого зеркала.",Знаток города 10 уровня,24 декабря 2019,1
Дмитрий К.,"Отличные менеджеры по продажам, но удаленность для москвичей - ужасна. Для дачников, в общем)В сервисе был один раз после БорисХофа, где не решили проблему до этого. В общем, тут тоже не решили...",Знаток города 7 уровня,14 августа 2019,5
Павел П.,"В целом без проблем, общение и подача на уровне, текучки сотрулников вроле нет, вот только сервис иногда косячит - по мелкому, но все же: то ключ в задней оси забыли, то колпачок ступицы прикрутить , но крупных косяков с 2014 по н.в. Никаких не было",Знаток города 4 уровня,1 июня 2019,4
Дм П.,"Вопросов больше чем ответов. На ТО пытаются навесить кучу ненужных работ, что удорожает общий счёт на 25-30%. Будьте внимательны(!)",Знаток города 13 уровня,25 февраля,3
Дмитрий М.,"По приезду все менеджеры были заняты, ну ни чего мы не гордые подождем, продал час, надоело, оставил телефон информацию по машине которую хотел приобрести, спустя неделю ни каких тело движений со стороны салона😄 нет так нет, долларов кругом полно",Знаток города 3 уровня,7 августа 2019,3
Денис,"Все оперативно и качественно, не дёшево правда",Знаток города 4 уровня,24 января,5
Акропий Ильин,Обслуживаю автомобиль более 3 лет. Но сервис мог быть и быстрее,Знаток города 10 уровня,25 января,4
Илья Н.,"Этот отчёт о ремонте в данном центре по направлению страховой компании. Машина была на ходу, поэтому все сроки меня мало волновали, но период ожидания дефектовки с момента получения направления от страховой до заезда в тех центр занял месяц. Машину осмотрели, отправили новый запрос в страховую, подождали, в итоге до записи на ремонт прошёл ещё месяц, к этому я тоже был готов. А дальше началось самое интересное, ремонтировал по ОСАГО, поэтому был готов к доплатам, но разговор с менеджером приемки был следующего характера: мы можем вам предложить оплатить неоригинальную деталь за N сумму или оригинальную за N умноженную на 4 сумму. Машина не новая, деталь не имеет критического значения при езде, договорились на неоригинальную. Сдал машину, ее, так понимаю, разобрали и позвонили мне на следующий день. И говорят: вы знаете, та деталь, которую мы заказывали для вашей машины по каталожному номеру (как работает отдел запчастей, непонятно) не подходит на ваше авто, она мала (видимо машина за 2 дня подросла в размерах), и мы готовы вам предложить следующие условия: 1. Забирайте машину и везите в другой сервис, при том, что предоплата, которую вы внесли к вам вернётся, если вы напишите заявление, поедите в другой офис и подождете сколько то времени. 2. Мы можем заказать другую неоригинальную деталь, но ее надо ещё месяц подождать 3. Мы готовы «ТОЛЬКО ДЛЯ ВАС» сделать скидку на оригинальную, но вы ещё к той сумме должны доплатить сумму N умноженную на 2. И этот разговор происходит когда машина уже и находится в сервисе, в разобранном состоянии, спустя 2,5 месяца ожидания ремонта с момента ДТП. Забирая машину я попросил, чтобы мне вернули мои старые детали, на что получил ответ, что их буквально вчера утилизировали. Выводы делайте сами.",Знаток города 3 уровня,18 июня 2018,1
